mapped_pincode,mapped_city_db,mapped_state_db,mapped_city_tat,Latitude,Longitude
440029,Nagpur,MH,Nagpur,21.146312,79.109414
361003,Jamnagar,GJ,Jamnagar,22.47158,70.027042
791122,Daporijo,AR,Daporijo,27.98199,94.217328
770032,Rourkela,OR,Rourkela,22.229371,84.907948
416425,Sangli,MH,Sangli,16.86135,74.594622
400703,Navi mumbai,MH,Navi mumbai,19.085197,73.001957
695032,Thiruvananthapuram,KL,Thiruvananthapuram,8.4917,76.997101
400108,Mumbai,MH,Mumbai,19.078735,72.828896
691541,Pangodu,KL,Pangodu,8.806913,76.994109
262522,Pithoragarh,UK,Pithoragarh,29.574507,80.233406
500037,Hyderabad,TS,Hyderabad,17.493183,78.432573
335704,Srivijaynagar,RJ,Srivijaynagar,29.24427,73.52114
632103,Gudiyattam,TN,Gudiyattam,12.767727,78.883522
711409,Howrah,WB,Howrah,22.621456,88.242686
624612,Oddanchatram,TN,Oddanchatram,10.542882,77.726262
783321,Dhubri,AS,Dhubri,26.019995,89.98303
685532,Mundakayam,KL,Mundakayam,9.537061,76.885777
302055,Jaipur,RJ,Jaipur,26.894411,75.783489
563116,Bethamangala,KA,Bethamangala,13.005931,78.329759
731202,Rampurhat,WB,Rampurhat,24.144118,87.850036
431152,Aurangabad,MH,Aurangabad,19.885716,75.337676
583281,Ilkal,KA,Ilkal,15.872523,76.046885
302030,Jaipur,RJ,Jaipur,26.869662,75.806806
535250,S Kota,AP,S Kota,18.051334,83.259978
516464,Tadipatri,AP,Tadipatri,14.706101,78.14797
611002,Nagapattinam,TN,Nagapattinam,10.819278,79.843516
591308,Gokak,KA,Gokak,16.188087,74.781239
854336,Birpur,BR,Birpur,26.528499,87.066573
505402,Bejjanki,TS,Bejjanki,18.250034,79.016705
713376,Mejia,WB,Mejia,23.629638,87.163627
523205,Markapur,AP,Markapur,15.738313,79.270144
689550,Kozhenchery,KL,Kozhenchery,9.356647,76.699547
110098,Delhi,DL,Delhi,28.631678,77.284614
787033,Narayanpur,AS,Narayanpur,27.021876,93.791943
788112,Bhaga,AS,Bhaga,24.539817,92.833861
518010,Kurnool,AP,Kurnool,15.666522,78.316819
736180,Cooch Behar,WB,Cooch Behar,26.335474,89.435883
